Node,Type,Average Depth Feet,Maximum Depth Feet,Maximum HGL Feet,Time of Max Occurence days,hr:min, Reported Max Depth Feet
1,JUNCTION,0.00,0.00,10.01,0,00:00,0.00
2,JUNCTION,0.00,0.00,8.99,0,00:00,0.00
3,JUNCTION,6.15,6.15,2.93,7,15:41,6.15
4,JUNCTION,4.49,4.49,2.93,7,15:40,4.49
5,JUNCTION,0.00,0.00,8.59,7,14:00,0.00
6,JUNCTION,4.63,4.76,6.43,7,18:33,4.72
7,JUNCTION,8.56,8.72,6.46,7,15:28,8.66
8,JUNCTION,54.29,54.56,6.57,7,16:53,54.46
9,JUNCTION,54.26,54.55,6.59,7,16:57,54.46
10,JUNCTION,82.17,82.48,6.61,7,15:27,82.43
11,JUNCTION,92.11,92.58,6.77,7,15:27,92.47
12,JUNCTION,24.73,25.29,6.86,7,15:49,25.16
13,JUNCTION,18.10,18.69,6.89,7,15:49,18.54
14,JUNCTION,18.00,18.58,6.89,7,15:49,18.44
15,JUNCTION,30.79,31.26,6.78,7,19:44,31.21
16,JUNCTION,14.23,14.68,6.76,7,19:44,14.64
19,JUNCTION,25.64,25.78,6.98,8,00:00,25.78
20,JUNCTION,30.64,30.76,6.96,7,22:08,30.72
21,JUNCTION,27.84,27.95,6.95,7,17:14,27.91
22,JUNCTION,19.34,19.42,6.92,7,17:24,19.39
23,JUNCTION,12.04,12.09,6.89,7,18:52,12.07
24,JUNCTION,0.34,0.39,6.89,7,18:44,0.37
25,JUNCTION,0.17,0.18,6.48,7,18:48,0.18
26,JUNCTION,17.90,18.03,6.43,7,18:33,17.98
27,JUNCTION,18.20,18.30,6.40,7,18:34,18.26
28,JUNCTION,14.30,14.40,6.40,7,18:34,14.36
29,JUNCTION,14.30,14.39,6.39,7,18:35,14.35
30,JUNCTION,28.00,28.09,6.39,7,18:37,28.07
31,JUNCTION,28.10,28.20,6.40,7,18:36,28.17
32,JUNCTION,53.90,54.02,6.42,7,18:28,53.97
33,JUNCTION,50.79,50.94,6.44,7,21:11,50.89
34,JUNCTION,17.99,18.11,6.41,7,18:37,18.09
35,JUNCTION,0.00,0.00,21.17,0,00:00,0.00
36,JUNCTION,1.54,1.59,6.89,7,18:48,1.58
37,JUNCTION,1.44,1.48,6.88,7,18:49,1.47
38,JUNCTION,19.84,19.88,6.88,7,18:45,19.88
39,JUNCTION,20.14,20.21,6.91,7,18:24,20.18
40,JUNCTION,41.04,41.18,6.98,8,00:00,41.18
41,JUNCTION,41.04,41.16,6.96,8,00:00,41.16
42,JUNCTION,68.34,68.46,6.96,7,14:17,68.44
43,JUNCTION,71.74,71.85,6.95,7,15:35,71.80
44,JUNCTION,33.04,33.09,6.89,7,18:32,33.07
45,JUNCTION,33.04,33.09,6.89,7,22:27,33.07
46,JUNCTION,23.24,23.33,6.93,7,16:57,23.28
47,JUNCTION,23.34,23.43,6.93,7,22:14,23.40
48,JUNCTION,34.64,34.74,6.94,7,16:47,34.71
49,JUNCTION,21.14,21.24,6.94,7,16:47,21.19
50,JUNCTION,21.14,21.24,6.94,7,23:20,21.22
51,JUNCTION,17.34,17.42,6.92,7,18:36,17.39
52,JUNCTION,3.84,3.90,6.90,7,18:39,3.89
53,JUNCTION,0.00,0.00,-22.10,0,00:00,0.00
54,JUNCTION,0.00,0.00,-0.90,0,00:00,0.00
55,JUNCTION,0.00,0.00,0.00,0,00:00,0.00
56,JUNCTION,0.00,0.00,-13.70,0,00:00,0.00
57,JUNCTION,0.00,0.00,-13.20,0,00:00,0.00
58,JUNCTION,0.00,0.00,-20.50,0,00:00,0.00
59,JUNCTION,0.00,0.00,-20.60,0,00:00,0.00
60,JUNCTION,0.00,0.00,7.19,0,00:00,0.00
61,JUNCTION,0.00,0.00,12.80,0,00:00,0.00
62,JUNCTION,0.00,0.00,15.00,0,00:00,0.00
63,JUNCTION,0.00,0.00,22.00,0,00:00,0.00
64,JUNCTION,0.00,0.00,18.00,0,00:00,0.00
65,JUNCTION,0.00,0.00,11.00,0,00:00,0.00
66,JUNCTION,9.30,9.39,6.39,7,18:36,9.36
67,JUNCTION,12.00,12.09,6.39,7,18:36,12.06
70,JUNCTION,32.30,32.41,6.41,7,18:37,32.35
71,JUNCTION,17.49,17.61,6.42,7,18:38,17.57
72,JUNCTION,0.00,0.00,-16.30,0,00:00,0.00
73,JUNCTION,0.00,0.00,-17.00,0,00:00,0.00
74,JUNCTION,0.00,0.00,-5.00,0,00:00,0.00
75,JUNCTION,0.00,0.00,-11.90,0,00:00,0.00
76,JUNCTION,0.00,0.00,-3.00,0,00:00,0.00
77,JUNCTION,0.00,0.00,-6.25,0,00:00,0.00
78,JUNCTION,0.00,0.00,-19.70,0,00:00,0.00
79,JUNCTION,0.00,0.00,-19.70,0,00:00,0.00
80,JUNCTION,0.00,0.00,-12.60,0,00:00,0.00
81,JUNCTION,0.00,0.00,-12.60,0,00:00,0.00
82,JUNCTION,0.00,0.00,-5.00,0,00:00,0.00
83,JUNCTION,22.94,23.09,6.99,8,00:00,23.09
84,JUNCTION,22.95,23.06,6.96,8,00:00,23.06
85,JUNCTION,50.55,50.63,6.93,7,18:04,50.58
86,JUNCTION,58.15,58.22,6.92,7,18:51,58.19
87,JUNCTION,46.85,46.90,6.90,7,18:32,46.88
88,JUNCTION,43.85,43.93,6.93,7,23:01,43.89
89,JUNCTION,43.85,43.93,6.93,7,21:48,43.91
90,JUNCTION,29.85,29.94,6.94,7,18:20,29.90
91,JUNCTION,11.65,11.71,6.91,7,23:29,11.70
92,JUNCTION,7.65,7.71,6.91,7,18:21,7.70
18,JUNCTION,0.00,0.00,-16.30,0,00:00,0.00
100,JUNCTION,0.00,0.00,-28.62,0,00:00,0.00
102,JUNCTION,0.00,0.00,-25.64,0,00:00,0.00
103,JUNCTION,0.00,0.00,-22.38,0,00:00,0.00
104,JUNCTION,0.00,0.00,-22.37,0,00:00,0.00
105,JUNCTION,0.00,0.00,-20.44,0,00:00,0.00
106,JUNCTION,0.00,0.00,-12.12,0,00:00,0.00
107,JUNCTION,0.00,0.00,-14.89,0,00:00,0.00
108,JUNCTION,0.00,0.00,-6.80,0,00:00,0.00
109,JUNCTION,0.00,0.00,-20.88,0,00:00,0.00
110,JUNCTION,0.00,0.00,-20.91,0,00:00,0.00
111,JUNCTION,0.00,0.00,-20.98,0,00:00,0.00
112,JUNCTION,0.00,0.00,-21.00,0,00:00,0.00
113,JUNCTION,0.00,0.00,-80.80,0,00:00,0.00
114,JUNCTION,0.00,0.00,-83.18,0,00:00,0.00
115,JUNCTION,0.00,0.00,-71.75,0,00:00,0.00
116,JUNCTION,0.00,0.00,-71.87,0,00:00,0.00
117,JUNCTION,0.00,0.00,-98.50,0,00:00,0.00
118,JUNCTION,0.00,0.00,-22.98,0,00:00,0.00
119,JUNCTION,0.00,0.00,-20.15,0,00:00,0.00
120,JUNCTION,0.00,0.00,-17.42,0,00:00,0.00
121,JUNCTION,0.00,0.00,-3.19,0,00:00,0.00
122,JUNCTION,0.00,0.00,-3.43,0,00:00,0.00
123,JUNCTION,0.00,0.00,-10.64,0,00:00,0.00
124,JUNCTION,0.00,0.00,-6.50,0,00:00,0.00
125,JUNCTION,0.00,0.00,-7.20,0,00:00,0.00
126,JUNCTION,0.00,0.00,-19.38,0,00:00,0.00
127,JUNCTION,0.00,0.00,-11.21,0,00:00,0.00
128,JUNCTION,0.00,0.00,-11.70,0,00:00,0.00
129,JUNCTION,0.00,0.00,-14.32,0,00:00,0.00
130,JUNCTION,0.00,0.00,-5.69,0,00:00,0.00
