Node,Type,Average Depth Feet,Maximum Depth Feet,Maximum HGL Feet,Time of Max Occurence days,hr:min, Reported Max Depth Feet
,,,,,,,
1,JUNCTION,0,0,10.01,0,0:00,0
,,,,,,,
2,JUNCTION,0,0,8.99,0,0:00,0
,,,,,,,
3,JUNCTION,0,0,-3.22,0,0:00,0
,,,,,,,
4,JUNCTION,0,0,-1.56,0,0:00,0
,,,,,,,
5,JUNCTION,0,0,8.59,0,0:00,0
,,,,,,,
6,JUNCTION,0,0,1.67,0,0:00,0
,,,,,,,
7,JUNCTION,0,0,-2.26,0,0:00,0
,,,,,,,
8,JUNCTION,0,0,-47.99,0,0:00,0
,,,,,,,
9,JUNCTION,0,0,-47.96,0,0:00,0
,,,,,,,
10,JUNCTION,0,0,-75.87,0,0:00,0
,,,,,,,
11,JUNCTION,0,0,-85.81,0,0:00,0
,,,,,,,
12,JUNCTION,0,0,-18.43,0,0:00,0
,,,,,,,
13,JUNCTION,0,0,-11.8,0,0:00,0
,,,,,,,
14,JUNCTION,0,0,-11.69,0,0:00,0
,,,,,,,
15,JUNCTION,0,0,-24.48,0,0:00,0
,,,,,,,
16,JUNCTION,0,0,-7.92,0,0:00,0
,,,,,,,
19,JUNCTION,0,0,-18.8,0,0:00,0
,,,,,,,
20,JUNCTION,0,0,-23.8,0,0:00,0
,,,,,,,
21,JUNCTION,0,0,-21,0,0:00,0
,,,,,,,
22,JUNCTION,0,0,-12.5,0,0:00,0
,,,,,,,
23,JUNCTION,0,0,-5.2,0,0:00,0
,,,,,,,
24,JUNCTION,0,0,6.5,0,0:00,0
,,,,,,,
25,JUNCTION,0,0,6.3,0,0:00,0
,,,,,,,
26,JUNCTION,0,0,-11.6,0,0:00,0
,,,,,,,
27,JUNCTION,0,0,-11.9,0,0:00,0
,,,,,,,
28,JUNCTION,0,0,-8,0,0:00,0
,,,,,,,
29,JUNCTION,0,0,-8,0,0:00,0
,,,,,,,
30,JUNCTION,0,0,-21.7,0,0:00,0
,,,,,,,
31,JUNCTION,0,0,-21.8,0,0:00,0
,,,,,,,
32,JUNCTION,0,0,-47.6,0,0:00,0
,,,,,,,
33,JUNCTION,0,0,-44.5,0,0:00,0
,,,,,,,
34,JUNCTION,0,0,-11.7,0,0:00,0
,,,,,,,
35,JUNCTION,0,0,21.17,0,0:00,0
,,,,,,,
36,JUNCTION,0,0,5.3,0,0:00,0
,,,,,,,
37,JUNCTION,0,0,5.4,0,0:00,0
,,,,,,,
38,JUNCTION,0,0,-13,0,0:00,0
