Item,Mean,Std. Dev
Arlington,202.3400829,33.90342912
Boylston,41.52824071,6.95833344
Copley,37.89210814,6.3490752
Hynes,78.7283513,13.19145984
Prudential,57.01221007,9.55277568
Symphony,40.21973625,6.7390848
Kenmore,95.82698161,16.05644928
Shawmut,48.49756928,8.12609088
Andrew ,112.7332414,18.88920576
Broadway,68.56970354,11.48931072
Kendall,54.81702289,9.18495744
Central,71.95944877,12.05728512
Harvard ,858.0907096,143.778816
Porter,330.529215,55.38237235
Davis,107.6970485,18.04535808
Alewife,243.0446437,40.7237495
Forest Hills,248.3664864,41.61545971
Green Street,78.85031658,13.21189594
Stony Brook,73.41219673,12.30070272
Roxbury Crossing,79.56216308,13.33117056
Massachusetts Ave,85.93488411,14.39896243
Back Bay,65.8288524,11.03006285
Tufts,106.4670552,17.83926451
Chinatown,58.47889194,9.798528
Aquarium,50.2773173,8.42429952
Bowdoin,36.5646554,6.126651648
Maverick,76.64725719,12.84275866
State St,352.122362,59.000448
Govt Ctr,146.5811,24.56064
WTC,23.0132327,3.85602048
Courthouse,54.78468613,9.1795392
South Station,131.6786882,22.0636416
Haymarket,74.30350882,12.450048
DTX,566.628997,94.942464
North Station,91.64417212,15.35559168
Park St,411.5040936,68.9502528
Ruggles,86.37625915,14.47291776
Back Bay,179.9239459,30.147456
Oak Grove,35.82635784,6.002944973
Jackson Square,40.90882074,6.854545498
Orient Heights Yard,74.02391385,12.4032
Orient Heights,127.6511456,21.3888
Airport,74.50243377,12.4833792
Suffolks Downs,52.45436977,8.789079168
Beachmont,48.05406978,8.051779584
Revere Beach,32.08261054,5.375655168
Charlestown*,337.9766275,56.63023594
Everett Garage*,276.8448543,46.3872
South Boston Power*,216.8006889,36.3264
Reservoir,60.50251782,10.1376
Cabot Yard,248.6561812,41.664
Wellington Yard,120.1540871,20.1326179
Fellsway Garage*,14.20892464,2.3808
Widett Circle YARD*,62.79427986,10.5216
45 High Street*,163.8609858,27.456
Lynn*,72.70971895,12.18299789
Braintree,90.59030306,15.1790089
Quincy Center,80.78857662,13.53666432
Ashmont,47.98422375,8.040076416
MGH,135.7574035,22.74705754
Cobble Hill*,30.48043512,5.1072
Albany Garage*,21.54256316,3.6096
Southampton,217.9465699,36.5184
Route 128*,79.98249515,13.4016
Wonderland,113.6713971,19.0464
Beverly Depot*,60.73169403,10.176
Salem Depot*,86.85778127,14.5536
Assembly,76.7740283,12.864
Mattapan,1.833409631,0.3072
